COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,224,164,42306,8824,17,51294,html version of FL COVID Rep 04-17-2020(PM)
Broward,66,35,27682,3688,12,31405,html version of FL COVID Rep 04-17-2020(PM)
Palm Beach,62,312,11597,2088,15,13997,html version of FL COVID Rep 04-17-2020(PM)
Orange,7,4,13940,1158,8,15102,html version of FL COVID Rep 04-17-2020(PM)
Hillsborough,6,33,13479,924,6,14436,html version of FL COVID Rep 04-17-2020(PM)
Duval,68,10,14758,817,5,15585,html version of FL COVID Rep 04-17-2020(PM)
Lee,50,2,5636,721,11,6359,html version of FL COVID Rep 04-17-2020(PM)
Pinellas,82,9,9433,565,6,10007,html version of FL COVID Rep 04-17-2020(PM)
Collier,18,1,3620,445,11,4066,html version of FL COVID Rep 04-17-2020(PM)
Osceola,68,1,2915,392,12,3308,html version of FL COVID Rep 04-17-2020(PM)
Manatee,3,2,1872,326,15,2200,html version of FL COVID Rep 04-17-2020(PM)
Polk,8,2,4533,316,7,4851,html version of FL COVID Rep 04-17-2020(PM)
Seminole,10,2,3560,313,8,3875,html version of FL COVID Rep 04-17-2020(PM)
Escambia,45,5,3979,290,7,4274,html version of FL COVID Rep 04-17-2020(PM)
Sarasota,2,1,2915,274,9,3190,html version of FL COVID Rep 04-17-2020(PM)
Volusia,2,1,4087,270,6,4358,html version of FL COVID Rep 04-17-2020(PM)
Clay,2,1,2448,216,8,2665,html version of FL COVID Rep 04-17-2020(PM)
Brevard,2,3,4824,205,4,5032,html version of FL COVID Rep 04-17-2020(PM)
Alachua,3,9,4577,201,4,4787,html version of FL COVID Rep 04-17-2020(PM)
Lake,14,1,3259,197,6,3457,html version of FL COVID Rep 04-17-2020(PM)
Pasco,25,5,3800,192,5,3997,html version of FL COVID Rep 04-17-2020(PM)
St. Lucie,45,2,1953,191,9,2146,html version of FL COVID Rep 04-17-2020(PM)
St. Johns,19,1,3583,186,5,3770,html version of FL COVID Rep 04-17-2020(PM)
Leon,5,2,2071,174,8,2247,html version of FL COVID Rep 04-17-2020(PM)
Martin,10,1,1135,147,11,1283,html version of FL COVID Rep 04-17-2020(PM)
Charlotte,6,2,1163,131,10,1296,html version of FL COVID Rep 04-17-2020(PM)
Santa Rosa,5,1,1773,130,7,1904,html version of FL COVID Rep 04-17-2020(PM)
Okaloosa,15,1,1433,124,8,1558,html version of FL COVID Rep 04-17-2020(PM)
Sumter,27,1,1189,120,9,1310,html version of FL COVID Rep 04-17-2020(PM)
Marion,253,2,2469,116,4,2587,html version of FL COVID Rep 04-17-2020(PM)
Suwannee,1,,330,87,21,417,html version of FL COVID Rep 04-17-2020(PM)
Indian River,66,,1149,83,7,1232,html version of FL COVID Rep 04-17-2020(PM)
Hernando,,,1141,83,7,1224,html version of FL COVID Rep 04-17-2020(PM)
Citrus,2,1,1129,82,7,1212,html version of FL COVID Rep 04-17-2020(PM)
Monroe,31,,820,68,8,888,html version of FL COVID Rep 04-17-2020(PM)
Highlands,,2,462,66,12,530,html version of FL COVID Rep 04-17-2020(PM)
Flagler,,1,854,55,6,910,html version of FL COVID Rep 04-17-2020(PM)
Putnam,3,,930,52,5,982,html version of FL COVID Rep 04-17-2020(PM)
Gadsden,,,244,47,16,291,html version of FL COVID Rep 04-17-2020(PM)
Bay,,1,676,44,6,721,html version of FL COVID Rep 04-17-2020(PM)
Nassau,,,835,42,5,877,html version of FL COVID Rep 04-17-2020(PM)
Bradford,5,,417,40,9,457,html version of FL COVID Rep 04-17-2020(PM)
Columbia,12,,484,35,7,519,html version of FL COVID Rep 04-17-2020(PM)
Walton,,,362,31,8,393,html version of FL COVID Rep 04-17-2020(PM)
Hendry,,,231,31,12,262,html version of FL COVID Rep 04-17-2020(PM)
Desoto,,,354,23,6,377,html version of FL COVID Rep 04-17-2020(PM)
Jefferson,3,,86,23,21,109,html version of FL COVID Rep 04-17-2020(PM)
Madison,3,,138,19,12,157,html version of FL COVID Rep 04-17-2020(PM)
Baker,,,239,17,7,256,html version of FL COVID Rep 04-17-2020(PM)
Wakulla,1,,200,14,7,214,html version of FL COVID Rep 04-17-2020(PM)
Levy,3,,348,9,3,357,html version of FL COVID Rep 04-17-2020(PM)
Jackson,,,223,8,3,231,html version of FL COVID Rep 04-17-2020(PM)
Washington,1,,124,6,5,130,html version of FL COVID Rep 04-17-2020(PM)
Calhoun,,,70,6,8,76,html version of FL COVID Rep 04-17-2020(PM)
Okeechobee,2,,226,5,2,231,html version of FL COVID Rep 04-17-2020(PM)
Holmes,4,,108,5,4,113,html version of FL COVID Rep 04-17-2020(PM)
Glades,,,30,5,14,35,html version of FL COVID Rep 04-17-2020(PM)
Gilchrist,1,,157,4,2,161,html version of FL COVID Rep 04-17-2020(PM)
Hardee,,,81,4,5,85,html version of FL COVID Rep 04-17-2020(PM)
Dixie,1,,137,3,2,140,html version of FL COVID Rep 04-17-2020(PM)
Hamilton,1,,85,3,3,88,html version of FL COVID Rep 04-17-2020(PM)
Unknown,12,,34,3,8,37,html version of FL COVID Rep 04-17-2020(PM)
Union,4,,143,2,1,145,html version of FL COVID Rep 04-17-2020(PM)
Franklin,,,63,2,3,65,html version of FL COVID Rep 04-17-2020(PM)
