COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,234,165,44287,9045,17,53497,html version of FL COVID Rep 04-18-2020(PM)
Broward,58,38,28725,3838,12,32601,html version of FL COVID Rep 04-18-2020(PM)
Palm Beach,62,303,13427,2138,13,15868,html version of FL COVID Rep 04-18-2020(PM)
Orange,12,4,14623,1180,7,15807,html version of FL COVID Rep 04-18-2020(PM)
Hillsborough,8,32,13905,943,6,14880,html version of FL COVID Rep 04-18-2020(PM)
Duval,70,9,15441,835,5,16285,html version of FL COVID Rep 04-18-2020(PM)
Lee,73,2,5761,739,11,6502,html version of FL COVID Rep 04-18-2020(PM)
Pinellas,62,9,9680,587,6,10276,html version of FL COVID Rep 04-18-2020(PM)
Collier,19,1,3712,457,11,4170,html version of FL COVID Rep 04-18-2020(PM)
Osceola,65,1,3074,403,12,3478,html version of FL COVID Rep 04-18-2020(PM)
Manatee,2,2,1982,362,15,2346,html version of FL COVID Rep 04-18-2020(PM)
Polk,8,2,4666,320,6,4988,html version of FL COVID Rep 04-18-2020(PM)
Seminole,8,2,3711,315,8,4028,html version of FL COVID Rep 04-18-2020(PM)
Escambia,32,5,4138,304,7,4447,html version of FL COVID Rep 04-18-2020(PM)
Volusia,7,1,4519,291,6,4811,html version of FL COVID Rep 04-18-2020(PM)
Sarasota,3,1,3058,279,8,3338,html version of FL COVID Rep 04-18-2020(PM)
Clay,1,1,2553,223,8,2777,html version of FL COVID Rep 04-18-2020(PM)
Brevard,2,4,5168,210,4,5382,html version of FL COVID Rep 04-18-2020(PM)
Alachua,3,9,4689,205,4,4903,html version of FL COVID Rep 04-18-2020(PM)
Lake,12,1,3404,203,6,3608,html version of FL COVID Rep 04-18-2020(PM)
Pasco,27,6,3918,198,5,4122,html version of FL COVID Rep 04-18-2020(PM)
St. Lucie,42,2,2030,196,9,2228,html version of FL COVID Rep 04-18-2020(PM)
St. Johns,14,1,3694,188,5,3883,html version of FL COVID Rep 04-18-2020(PM)
Leon,5,2,2164,169,7,2335,html version of FL COVID Rep 04-18-2020(PM)
Martin,9,1,1165,148,11,1314,html version of FL COVID Rep 04-18-2020(PM)
Sumter,27,1,1222,144,11,1367,html version of FL COVID Rep 04-18-2020(PM)
Charlotte,6,2,1205,138,10,1345,html version of FL COVID Rep 04-18-2020(PM)
Santa Rosa,1,1,1856,133,7,1990,html version of FL COVID Rep 04-18-2020(PM)
Okaloosa,14,1,1479,127,8,1607,html version of FL COVID Rep 04-18-2020(PM)
Marion,190,2,2608,118,4,2728,html version of FL COVID Rep 04-18-2020(PM)
Suwannee,,,340,90,21,430,html version of FL COVID Rep 04-18-2020(PM)
Hernando,,,1165,84,7,1249,html version of FL COVID Rep 04-18-2020(PM)
Indian River,62,,1192,83,7,1275,html version of FL COVID Rep 04-18-2020(PM)
Citrus,2,1,1166,82,7,1249,html version of FL COVID Rep 04-18-2020(PM)
Monroe,28,,845,73,8,918,html version of FL COVID Rep 04-18-2020(PM)
Flagler,,1,883,66,7,950,html version of FL COVID Rep 04-18-2020(PM)
Highlands,2,1,501,66,12,568,html version of FL COVID Rep 04-18-2020(PM)
Putnam,3,,960,55,5,1015,html version of FL COVID Rep 04-18-2020(PM)
Bay,,1,729,48,6,778,html version of FL COVID Rep 04-18-2020(PM)
Gadsden,,,265,48,15,313,html version of FL COVID Rep 04-18-2020(PM)
