COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,270,164,55334,10289,16,65787,html version of FL COVID Rep 04-22-2020(PM)
Broward,49,35,32621,4254,12,36910,html version of FL COVID Rep 04-22-2020(PM)
Palm Beach,52,278,17184,2413,12,19875,html version of FL COVID Rep 04-22-2020(PM)
Orange,17,3,17722,1258,7,18983,html version of FL COVID Rep 04-22-2020(PM)
Hillsborough,12,36,15080,986,6,16102,html version of FL COVID Rep 04-22-2020(PM)
Duval,70,11,17903,936,5,18850,html version of FL COVID Rep 04-22-2020(PM)
Lee,55,2,6000,821,12,6823,html version of FL COVID Rep 04-22-2020(PM)
Pinellas,91,9,10537,641,6,11187,html version of FL COVID Rep 04-22-2020(PM)
Collier,18,1,3964,487,11,4452,html version of FL COVID Rep 04-22-2020(PM)
Manatee,3,2,2305,448,16,2755,html version of FL COVID Rep 04-22-2020(PM)
Osceola,60,1,3498,427,11,3926,html version of FL COVID Rep 04-22-2020(PM)
Escambia,21,5,4898,415,8,5318,html version of FL COVID Rep 04-22-2020(PM)
Volusia,4,2,5776,376,6,6154,html version of FL COVID Rep 04-22-2020(PM)
Polk,7,2,5220,364,7,5586,html version of FL COVID Rep 04-22-2020(PM)
Seminole,6,3,4115,333,7,4451,html version of FL COVID Rep 04-22-2020(PM)
Sarasota,2,1,3401,302,8,3704,html version of FL COVID Rep 04-22-2020(PM)
Clay,1,1,2905,259,8,3165,html version of FL COVID Rep 04-22-2020(PM)
Brevard,2,3,6045,226,4,6274,html version of FL COVID Rep 04-22-2020(PM)
Alachua,,8,5271,226,4,5505,html version of FL COVID Rep 04-22-2020(PM)
Pasco,22,6,4224,220,5,4450,html version of FL COVID Rep 04-22-2020(PM)
Lake,11,1,3893,214,5,4108,html version of FL COVID Rep 04-22-2020(PM)
St. Lucie,54,2,2258,213,9,2473,html version of FL COVID Rep 04-22-2020(PM)
St. Johns,6,1,4027,195,5,4223,html version of FL COVID Rep 04-22-2020(PM)
Leon,9,2,2384,187,7,2573,html version of FL COVID Rep 04-22-2020(PM)
Sumter,26,1,1464,164,10,1629,html version of FL COVID Rep 04-22-2020(PM)
Martin,6,,1306,162,11,1468,html version of FL COVID Rep 04-22-2020(PM)
Charlotte,6,2,1301,154,11,1457,html version of FL COVID Rep 04-22-2020(PM)
Santa Rosa,1,1,2076,140,6,2217,html version of FL COVID Rep 04-22-2020(PM)
Okaloosa,11,1,1636,134,8,1771,html version of FL COVID Rep 04-22-2020(PM)
Marion,253,2,2939,132,4,3073,html version of FL COVID Rep 04-22-2020(PM)
Suwannee,,,379,104,22,483,html version of FL COVID Rep 04-22-2020(PM)
Citrus,1,1,1237,92,7,1330,html version of FL COVID Rep 04-22-2020(PM)
Indian River,67,1,1295,85,6,1381,html version of FL COVID Rep 04-22-2020(PM)
Hernando,,,1248,83,6,1331,html version of FL COVID Rep 04-22-2020(PM)
Flagler,,1,990,78,7,1069,html version of FL COVID Rep 04-22-2020(PM)
