COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,INCONCLUSIVE,TOTAL_TESTED,PERCENT_POSITIVE,FILE_NAME
Dade,91,1845,278,1,2124,13,html version of FL COVID Rep 03-23-2020(PM)
Broward,207,1909,263,0,2172,12,html version of FL COVID Rep 03-23-2020(PM)
Palm Beach,14,537,89,0,626,14,html version of FL COVID Rep 03-23-2020(PM)
Hillsborough,6,1174,75,0,1249,6,html version of FL COVID Rep 03-23-2020(PM)
Duval,47,482,50,0,532,9,html version of FL COVID Rep 03-23-2020(PM)
Orange,17,709,48,0,757,6,html version of FL COVID Rep 03-23-2020(PM)
Pinellas,40,545,41,0,586,7,html version of FL COVID Rep 03-23-2020(PM)
Collier,43,306,39,0,345,11,html version of FL COVID Rep 03-23-2020(PM)
Alachua,45,549,36,0,585,6,html version of FL COVID Rep 03-23-2020(PM)
Lee,24,206,30,0,236,13,html version of FL COVID Rep 03-23-2020(PM)
Osceola,66,183,25,0,208,12,html version of FL COVID Rep 03-23-2020(PM)
Seminole,27,253,22,0,275,8,html version of FL COVID Rep 03-23-2020(PM)
Sarasota,82,318,21,0,339,6,html version of FL COVID Rep 03-23-2020(PM)
St. Johns,28,226,18,0,244,7,html version of FL COVID Rep 03-23-2020(PM)
Volusia,9,131,16,0,147,11,html version of FL COVID Rep 03-23-2020(PM)
Manatee,7,113,15,0,128,12,html version of FL COVID Rep 03-23-2020(PM)
Okaloosa,9,51,14,0,65,22,html version of FL COVID Rep 03-23-2020(PM)
Pasco,15,204,14,0,218,6,html version of FL COVID Rep 03-23-2020(PM)
Polk,29,207,13,0,220,6,html version of FL COVID Rep 03-23-2020(PM)
Indian River,6,83,10,0,93,11,html version of FL COVID Rep 03-23-2020(PM)
Citrus,9,65,9,0,74,12,html version of FL COVID Rep 03-23-2020(PM)
Escambia,5,57,9,0,66,14,html version of FL COVID Rep 03-23-2020(PM)
Lake,4,144,9,0,153,6,html version of FL COVID Rep 03-23-2020(PM)
Walton,13,21,9,0,30,30,html version of FL COVID Rep 03-23-2020(PM)
Clay,11,80,8,0,88,9,html version of FL COVID Rep 03-23-2020(PM)
Sumter,2,64,8,0,72,11,html version of FL COVID Rep 03-23-2020(PM)
Brevard,4,115,7,0,122,6,html version of FL COVID Rep 03-23-2020(PM)
Leon,11,130,6,0,136,4,html version of FL COVID Rep 03-23-2020(PM)
Hernando,6,73,5,0,78,6,html version of FL COVID Rep 03-23-2020(PM)
St. Lucie,3,104,5,0,109,5,html version of FL COVID Rep 03-23-2020(PM)
Marion,63,88,4,0,92,4,html version of FL COVID Rep 03-23-2020(PM)
Martin,1,71,4,0,75,5,html version of FL COVID Rep 03-23-2020(PM)
Santa Rosa,4,48,4,0,52,8,html version of FL COVID Rep 03-23-2020(PM)
Baker,2,13,3,0,16,19,html version of FL COVID Rep 03-23-2020(PM)
Charlotte,2,55,3,0,58,5,html version of FL COVID Rep 03-23-2020(PM)
Flagler,2,53,3,0,56,5,html version of FL COVID Rep 03-23-2020(PM)
Columbia,18,25,2,0,27,7,html version of FL COVID Rep 03-23-2020(PM)
Highlands,4,12,2,0,14,14,html version of FL COVID Rep 03-23-2020(PM)
Monroe,23,44,2,0,46,4,html version of FL COVID Rep 03-23-2020(PM)
Putnam,40,55,2,0,57,4,html version of FL COVID Rep 03-23-2020(PM)
Bay,2,33,1,0,34,3,html version of FL COVID Rep 03-23-2020(PM)
Bradford,2,16,1,0,17,6,html version of FL COVID Rep 03-23-2020(PM)
Desoto,16,8,1,0,9,11,html version of FL COVID Rep 03-23-2020(PM)
Gadsden,0,14,1,0,15,7,html version of FL COVID Rep 03-23-2020(PM)
Jackson,6,19,1,0,20,5,html version of FL COVID Rep 03-23-2020(PM)
Nassau,0,23,1,0,24,4,html version of FL COVID Rep 03-23-2020(PM)
Calhoun,0,5,0,0,5,0,html version of FL COVID Rep 03-23-2020(PM)
Dixie,0,6,0,0,6,0,html version of FL COVID Rep 03-23-2020(PM)
Franklin,1,10,0,0,10,0,html version of FL COVID Rep 03-23-2020(PM)
Gilchrist,0,5,0,0,5,0,html version of FL COVID Rep 03-23-2020(PM)
Gulf,6,10,0,0,10,0,html version of FL COVID Rep 03-23-2020(PM)
Hamilton,3,4,0,0,4,0,html version of FL COVID Rep 03-23-2020(PM)
Hardee,0,6,0,0,6,0,html version of FL COVID Rep 03-23-2020(PM)
Hendry,3,12,0,0,12,0,html version of FL COVID Rep 03-23-2020(PM)
Holmes,0,6,0,0,6,0,html version of FL COVID Rep 03-23-2020(PM)
Jefferson,0,5,0,0,5,0,html version of FL COVID Rep 03-23-2020(PM)
Lafayette,0,5,0,0,5,0,html version of FL COVID Rep 03-23-2020(PM)
Levy,0,19,0,0,19,0,html version of FL COVID Rep 03-23-2020(PM)
Madison,0,6,0,0,6,0,html version of FL COVID Rep 03-23-2020(PM)
Okeechobee,6,15,0,0,15,0,html version of FL COVID Rep 03-23-2020(PM)
Suwannee,5,13,0,0,13,0,html version of FL COVID Rep 03-23-2020(PM)
Taylor,2,8,0,0,8,0,html version of FL COVID Rep 03-23-2020(PM)
Union,1,17,0,0,17,0,html version of FL COVID Rep 03-23-2020(PM)
Unknown,2,5,0,0,5,0,html version of FL COVID Rep 03-23-2020(PM)
Wakulla,4,10,0,0,10,0,html version of FL COVID Rep 03-23-2020(PM)
Washington,2,9,0,0,9,0,html version of FL COVID Rep 03-23-2020(PM)
Total,1100,11637,1227,1,12865,10,html version of FL COVID Rep 03-23-2020(PM)
