COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,INCONCLUSIVE,TOTAL_TESTED,PERCENT_POSITIVE,FILE_NAME
Dade,83,2278,367,1,2645,14,html version of FL COVID Rep 03-24-2020(PM)
Broward,208,2147,312,,2459,13,html version of FL COVID Rep 03-24-2020(PM)
Palm Beach,16,624,104,,728,14,html version of FL COVID Rep 03-24-2020(PM)
Hillsborough,6,1301,95,,1396,7,html version of FL COVID Rep 03-24-2020(PM)
Orange,22,734,52,,786,7,html version of FL COVID Rep 03-24-2020(PM)
Duval,57,567,50,,617,8,html version of FL COVID Rep 03-24-2020(PM)
Pinellas,48,611,45,,656,7,html version of FL COVID Rep 03-24-2020(PM)
Collier,44,347,41,,388,11,html version of FL COVID Rep 03-24-2020(PM)
Alachua,42,590,37,,627,6,html version of FL COVID Rep 03-24-2020(PM)
Lee,32,264,34,,298,11,html version of FL COVID Rep 03-24-2020(PM)
Osceola,71,192,26,,218,12,html version of FL COVID Rep 03-24-2020(PM)
Sarasota,72,341,26,,367,7,html version of FL COVID Rep 03-24-2020(PM)
Seminole,29,262,25,,287,9,html version of FL COVID Rep 03-24-2020(PM)
St. Johns,34,255,24,,279,9,html version of FL COVID Rep 03-24-2020(PM)
Volusia,12,149,19,,168,11,html version of FL COVID Rep 03-24-2020(PM)
Manatee,9,116,16,,132,12,html version of FL COVID Rep 03-24-2020(PM)
Pasco,20,222,16,,238,7,html version of FL COVID Rep 03-24-2020(PM)
Lake,6,167,14,,181,8,html version of FL COVID Rep 03-24-2020(PM)
Okaloosa,19,62,14,,76,18,html version of FL COVID Rep 03-24-2020(PM)
Escambia,6,118,13,,131,10,html version of FL COVID Rep 03-24-2020(PM)
Polk,32,228,13,,241,5,html version of FL COVID Rep 03-24-2020(PM)
Indian River,6,89,12,,101,12,html version of FL COVID Rep 03-24-2020(PM)
Clay,16,86,10,,96,10,html version of FL COVID Rep 03-24-2020(PM)
Sumter,18,76,10,,86,12,html version of FL COVID Rep 03-24-2020(PM)
Walton,14,33,10,,43,23,html version of FL COVID Rep 03-24-2020(PM)
Brevard,5,140,9,,149,6,html version of FL COVID Rep 03-24-2020(PM)
Citrus,12,73,9,,82,11,html version of FL COVID Rep 03-24-2020(PM)
Leon,6,188,8,,196,4,html version of FL COVID Rep 03-24-2020(PM)
Hernando,6,76,7,,83,8,html version of FL COVID Rep 03-24-2020(PM)
Santa Rosa,3,74,6,,80,8,html version of FL COVID Rep 03-24-2020(PM)
St. Lucie,9,107,6,,113,5,html version of FL COVID Rep 03-24-2020(PM)
Baker,1,16,4,,20,20,html version of FL COVID Rep 03-24-2020(PM)
Flagler,2,57,4,,61,7,html version of FL COVID Rep 03-24-2020(PM)
Highlands,4,14,4,,18,22,html version of FL COVID Rep 03-24-2020(PM)
Marion,88,97,4,,101,4,html version of FL COVID Rep 03-24-2020(PM)
Martin,1,78,4,,82,5,html version of FL COVID Rep 03-24-2020(PM)
Charlotte,2,61,3,,64,5,html version of FL COVID Rep 03-24-2020(PM)
Columbia,23,31,3,,34,9,html version of FL COVID Rep 03-24-2020(PM)
Monroe,25,50,3,,53,6,html version of FL COVID Rep 03-24-2020(PM)
Putnam,35,83,2,,85,2,html version of FL COVID Rep 03-24-2020(PM)
Bay,3,37,1,,38,3,html version of FL COVID Rep 03-24-2020(PM)
Bradford,10,19,1,,20,5,html version of FL COVID Rep 03-24-2020(PM)
Desoto,22,11,1,,12,8,html version of FL COVID Rep 03-24-2020(PM)
Gadsden,0,19,1,,20,5,html version of FL COVID Rep 03-24-2020(PM)
Jackson,7,23,1,,24,4,html version of FL COVID Rep 03-24-2020(PM)
Nassau,2,26,1,,27,4,html version of FL COVID Rep 03-24-2020(PM)
Calhoun,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020(PM)
Dixie,0,8,0,,8,0,html version of FL COVID Rep 03-24-2020(PM)
Franklin,0,11,0,,11,0,html version of FL COVID Rep 03-24-2020(PM)
Gilchrist,0,7,0,,7,0,html version of FL COVID Rep 03-24-2020(PM)
Glades,0,1,0,,1,0,html version of FL COVID Rep 03-24-2020(PM)
Gulf,6,12,0,,12,0,html version of FL COVID Rep 03-24-2020(PM)
Hamilton,1,8,0,,8,0,html version of FL COVID Rep 03-24-2020(PM)
Hardee,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020(PM)
Hendry,3,15,0,,15,0,html version of FL COVID Rep 03-24-2020(PM)
Holmes,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020(PM)
Jefferson,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020(PM)
Lafayette,0,7,0,,7,0,html version of FL COVID Rep 03-24-2020(PM)
Levy,0,23,0,,23,0,html version of FL COVID Rep 03-24-2020(PM)
Liberty,0,1,0,,1,0,html version of FL COVID Rep 03-24-2020(PM)
Madison,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020(PM)
Okeechobee,6,17,0,,17,0,html version of FL COVID Rep 03-24-2020(PM)
Suwannee,11,14,0,,14,0,html version of FL COVID Rep 03-24-2020(PM)
Taylor,0,12,0,,12,0,html version of FL COVID Rep 03-24-2020(PM)
Union,1,19,0,,19,0,html version of FL COVID Rep 03-24-2020(PM)
Unknown,0,4,0,,4,0,html version of FL COVID Rep 03-24-2020(PM)
Wakulla,1,21,0,,21,0,html version of FL COVID Rep 03-24-2020(PM)
Washington,3,9,0,,9,0,html version of FL COVID Rep 03-24-2020(PM)
Total,1220,13358,1467,,14825,10,html version of FL COVID Rep 03-24-2020(PM)
