COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,INCONCLUSIVE,TOTAL_TESTED,PERCENT_POSITIVE,FILE_NAME
Dade,93,1480,228,1,1709,13,html version of FL COVID Rep 03-22-2020(PM)
Broward,207,1664,217,0,1881,12,html version of FL COVID Rep 03-22-2020(PM)
Palm Beach,15,402,72,0,474,15,html version of FL COVID Rep 03-22-2020(PM)
Hillsborough,6,957,58,0,1015,6,html version of FL COVID Rep 03-22-2020(PM)
Duval,42,389,39,0,428,9,html version of FL COVID Rep 03-22-2020(PM)
Pinellas,25,408,38,0,446,9,html version of FL COVID Rep 03-22-2020(PM)
Alachua,21,528,35,0,563,6,html version of FL COVID Rep 03-22-2020(PM)
Collier,27,209,33,0,242,14,html version of FL COVID Rep 03-22-2020(PM)
Orange,15,509,33,0,542,6,html version of FL COVID Rep 03-22-2020(PM)
Lee,21,168,26,0,194,13,html version of FL COVID Rep 03-22-2020(PM)
Osceola,65,151,24,0,175,14,html version of FL COVID Rep 03-22-2020(PM)
Seminole,28,145,19,0,164,12,html version of FL COVID Rep 03-22-2020(PM)
Sarasota,52,287,17,0,304,6,html version of FL COVID Rep 03-22-2020(PM)
St. Johns,32,194,16,0,210,8,html version of FL COVID Rep 03-22-2020(PM)
Okaloosa,9,47,14,0,61,23,html version of FL COVID Rep 03-22-2020(PM)
Volusia,5,85,14,0,99,14,html version of FL COVID Rep 03-22-2020(PM)
Manatee,7,93,13,0,106,12,html version of FL COVID Rep 03-22-2020(PM)
Pasco,15,166,11,0,177,6,html version of FL COVID Rep 03-22-2020(PM)
Polk,21,161,11,0,172,6,html version of FL COVID Rep 03-22-2020(PM)
Citrus,22,47,8,0,55,15,html version of FL COVID Rep 03-22-2020(PM)
Indian River,4,61,8,0,69,12,html version of FL COVID Rep 03-22-2020(PM)
Brevard,1,82,7,0,89,8,html version of FL COVID Rep 03-22-2020(PM)
Clay,9,69,7,0,76,9,html version of FL COVID Rep 03-22-2020(PM)
Lake,5,83,6,0,89,7,html version of FL COVID Rep 03-22-2020(PM)
Hernando,12,48,5,0,53,9,html version of FL COVID Rep 03-22-2020(PM)
Leon,2,111,5,0,116,4,html version of FL COVID Rep 03-22-2020(PM)
Sumter,1,54,5,0,59,8,html version of FL COVID Rep 03-22-2020(PM)
Escambia,2,41,4,0,45,9,html version of FL COVID Rep 03-22-2020(PM)
Santa Rosa,4,31,4,0,35,11,html version of FL COVID Rep 03-22-2020(PM)
Walton,13,18,4,0,22,18,html version of FL COVID Rep 03-22-2020(PM)
Marion,42,66,3,0,69,4,html version of FL COVID Rep 03-22-2020(PM)
St. Lucie,3,82,3,0,85,4,html version of FL COVID Rep 03-22-2020(PM)
Baker,6,9,2,0,11,18,html version of FL COVID Rep 03-22-2020(PM)
Charlotte,1,48,2,0,50,4,html version of FL COVID Rep 03-22-2020(PM)
Columbia,16,17,2,0,19,11,html version of FL COVID Rep 03-22-2020(PM)
Martin,1,50,2,0,52,4,html version of FL COVID Rep 03-22-2020(PM)
Putnam,30,45,2,0,47,4,html version of FL COVID Rep 03-22-2020(PM)
Bay,3,22,1,0,23,4,html version of FL COVID Rep 03-22-2020(PM)
Bradford,0,13,1,0,14,7,html version of FL COVID Rep 03-22-2020(PM)
Desoto,9,8,1,0,9,11,html version of FL COVID Rep 03-22-2020(PM)
Flagler,1,48,1,0,49,2,html version of FL COVID Rep 03-22-2020(PM)
Gadsden,0,13,1,0,14,7,html version of FL COVID Rep 03-22-2020(PM)
Highlands,1,8,1,0,9,11,html version of FL COVID Rep 03-22-2020(PM)
Jackson,4,15,1,0,16,6,html version of FL COVID Rep 03-22-2020(PM)
Monroe,19,32,1,0,33,3,html version of FL COVID Rep 03-22-2020(PM)
Nassau,0,20,1,0,21,5,html version of FL COVID Rep 03-22-2020(PM)
Unknown,2,5,1,0,6,17,html version of FL COVID Rep 03-22-2020(PM)
Calhoun,0,5,0,0,5,0,html version of FL COVID Rep 03-22-2020(PM)
Dixie,0,6,0,0,6,0,html version of FL COVID Rep 03-22-2020(PM)
Franklin,0,8,0,0,8,0,html version of FL COVID Rep 03-22-2020(PM)
Gilchrist,0,5,0,0,5,0,html version of FL COVID Rep 03-22-2020(PM)
Gulf,0,9,0,0,9,0,html version of FL COVID Rep 03-22-2020(PM)
Hamilton,2,2,0,0,2,0,html version of FL COVID Rep 03-22-2020(PM)
Hardee,0,5,0,0,5,0,html version of FL COVID Rep 03-22-2020(PM)
Hendry,2,12,0,0,12,0,html version of FL COVID Rep 03-22-2020(PM)
Holmes,0,2,0,0,2,0,html version of FL COVID Rep 03-22-2020(PM)
Jefferson,0,4,0,0,4,0,html version of FL COVID Rep 03-22-2020(PM)
Lafayette,0,4,0,0,4,0,html version of FL COVID Rep 03-22-2020(PM)
Levy,0,16,0,0,16,0,html version of FL COVID Rep 03-22-2020(PM)
Madison,0,3,0,0,3,0,html version of FL COVID Rep 03-22-2020(PM)
Okeechobee,3,14,0,0,14,0,html version of FL COVID Rep 03-22-2020(PM)
Suwannee,4,9,0,0,9,0,html version of FL COVID Rep 03-22-2020(PM)
Taylor,0,6,0,0,6,0,html version of FL COVID Rep 03-22-2020(PM)
Union,0,15,0,0,15,0,html version of FL COVID Rep 03-22-2020(PM)
Wakulla,0,8,0,0,8,0,html version of FL COVID Rep 03-22-2020(PM)
Washington,2,8,0,0,8,0,html version of FL COVID Rep 03-22-2020(PM)
Total,932,9330,1007,1,10338,10,html version of FL COVID Rep 03-22-2020(PM)
