COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,217,94,39815,8326,17,48235,html version of FL COVID Rep 04-16-2020(PM)
Broward,60,19,25954,3466,12,29439,html version of FL COVID Rep 04-16-2020(PM)
Palm Beach,62,108,9929,1867,16,11904,html version of FL COVID Rep 04-16-2020(PM)
Orange,7,1,12720,1114,8,13835,html version of FL COVID Rep 04-16-2020(PM)
Hillsborough,6,29,12642,878,6,13549,html version of FL COVID Rep 04-16-2020(PM)
Duval,72,7,13847,776,5,14630,html version of FL COVID Rep 04-16-2020(PM)
Lee,25,2,5428,687,11,6117,html version of FL COVID Rep 04-16-2020(PM)
Pinellas,70,9,9042,530,6,9581,html version of FL COVID Rep 04-16-2020(PM)
Collier,16,,3445,416,11,3861,html version of FL COVID Rep 04-16-2020(PM)
Osceola,68,1,2686,384,13,3071,html version of FL COVID Rep 04-16-2020(PM)
Manatee,2,1,1733,309,15,2043,html version of FL COVID Rep 04-16-2020(PM)
Seminole,10,1,3346,306,8,3653,html version of FL COVID Rep 04-16-2020(PM)
Polk,8,2,4300,304,7,4606,html version of FL COVID Rep 04-16-2020(PM)
Escambia,38,4,3805,277,7,4086,html version of FL COVID Rep 04-16-2020(PM)
Sarasota,2,1,2552,260,9,2813,html version of FL COVID Rep 04-16-2020(PM)
Volusia,6,1,3790,255,6,4046,html version of FL COVID Rep 04-16-2020(PM)
Alachua,4,10,4392,200,4,4602,html version of FL COVID Rep 04-16-2020(PM)
Brevard,2,3,4085,192,4,4280,html version of FL COVID Rep 04-16-2020(PM)
Pasco,23,5,3659,190,5,3854,html version of FL COVID Rep 04-16-2020(PM)
Lake,21,1,3092,186,6,3279,html version of FL COVID Rep 04-16-2020(PM)
St. Lucie,40,1,1884,186,9,2071,html version of FL COVID Rep 04-16-2020(PM)
Clay,3,1,2151,184,8,2336,html version of FL COVID Rep 04-16-2020(PM)
St. Johns,14,1,3395,182,5,3578,html version of FL COVID Rep 04-16-2020(PM)
Leon,5,2,1967,165,8,2134,html version of FL COVID Rep 04-16-2020(PM)
Martin,11,,1094,142,11,1236,html version of FL COVID Rep 04-16-2020(PM)
Charlotte,6,2,1086,127,10,1215,html version of FL COVID Rep 04-16-2020(PM)
Santa Rosa,1,1,1652,118,7,1771,html version of FL COVID Rep 04-16-2020(PM)
Okaloosa,12,1,1349,117,8,1467,html version of FL COVID Rep 04-16-2020(PM)
Sumter,28,1,1151,117,9,1269,html version of FL COVID Rep 04-16-2020(PM)
Marion,269,2,2345,112,5,2459,html version of FL COVID Rep 04-16-2020(PM)
Indian River,64,,1102,83,7,1185,html version of FL COVID Rep 04-16-2020(PM)
Suwannee,,,319,83,21,402,html version of FL COVID Rep 04-16-2020(PM)
Citrus,3,1,1045,80,7,1126,html version of FL COVID Rep 04-16-2020(PM)
Hernando,,,1103,76,6,1179,html version of FL COVID Rep 04-16-2020(PM)
Monroe,41,,772,66,8,838,html version of FL COVID Rep 04-16-2020(PM)
Highlands,,2,454,66,13,522,html version of FL COVID Rep 04-16-2020(PM)
Flagler,,1,820,50,6,871,html version of FL COVID Rep 04-16-2020(PM)
Putnam,4,,890,49,5,939,html version of FL COVID Rep 04-16-2020(PM)
Gadsden,,,217,44,17,261,html version of FL COVID Rep 04-16-2020(PM)
Bay,,1,640,42,6,683,html version of FL COVID Rep 04-16-2020(PM)
Nassau,,,773,40,5,813,html version of FL COVID Rep 04-16-2020(PM)
Bradford,11,,299,39,12,338,html version of FL COVID Rep 04-16-2020(PM)
Columbia,10,,456,35,7,491,html version of FL COVID Rep 04-16-2020(PM)
Walton,1,1,344,29,8,374,html version of FL COVID Rep 04-16-2020(PM)
Hendry,,,215,27,11,242,html version of FL COVID Rep 04-16-2020(PM)
Jefferson,2,,86,23,21,109,html version of FL COVID Rep 04-16-2020(PM)
Desoto,,,346,22,6,368,html version of FL COVID Rep 04-16-2020(PM)
Baker,,,229,17,7,246,html version of FL COVID Rep 04-16-2020(PM)
Madison,4,,131,16,11,147,html version of FL COVID Rep 04-16-2020(PM)
Wakulla,1,,193,14,7,207,html version of FL COVID Rep 04-16-2020(PM)
Levy,3,,325,9,3,334,html version of FL COVID Rep 04-16-2020(PM)
Jackson,,,211,8,4,219,html version of FL COVID Rep 04-16-2020(PM)
Okeechobee,2,,214,5,2,219,html version of FL COVID Rep 04-16-2020(PM)
Washington,1,,115,5,4,120,html version of FL COVID Rep 04-16-2020(PM)
Calhoun,,,69,5,7,74,html version of FL COVID Rep 04-16-2020(PM)
Glades,,,29,5,15,34,html version of FL COVID Rep 04-16-2020(PM)
Gilchrist,1,,144,4,3,148,html version of FL COVID Rep 04-16-2020(PM)
Holmes,4,,98,4,4,102,html version of FL COVID Rep 04-16-2020(PM)
Hardee,,,80,4,5,84,html version of FL COVID Rep 04-16-2020(PM)
Dixie,1,,132,3,2,135,html version of FL COVID Rep 04-16-2020(PM)
Unknown,11,,33,3,8,36,html version of FL COVID Rep 04-16-2020(PM)
Union,2,,132,2,1,134,html version of FL COVID Rep 04-16-2020(PM)
Hamilton,2,,79,2,2,81,html version of FL COVID Rep 04-16-2020(PM)
Franklin,,,61,2,3,63,html version of FL COVID Rep 04-16-2020(PM)
Liberty,,,32,2,6,34,html version of FL COVID Rep 04-16-2020(PM)
Taylor,1,1,137,1,1,139,html version of FL COVID Rep 04-16-2020(PM)
Gulf,,,100,1,1,101,html version of FL COVID Rep 04-16-2020(PM)
Lafayette,,,40,1,2,41,html version of FL COVID Rep 04-16-2020(PM)
Total,1277,318,200801,23340,10,224459,html version of FL COVID Rep 04-16-2020(PM)
