COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,149,292,267436,33714,11,301442,html version of FL COVID Rep 06-28-2020
Broward,26,79,175953,14620,8,190652,html version of FL COVID Rep 06-28-2020
Palm Beach,165,233,126772,13389,10,140394,html version of FL COVID Rep 06-28-2020
Hillsborough,100,83,110548,9918,8,120549,html version of FL COVID Rep 06-28-2020
Orange,56,129,122171,9671,7,131971,html version of FL COVID Rep 06-28-2020
Pinellas,69,28,83885,6020,7,89933,html version of FL COVID Rep 06-28-2020
Duval,48,98,94176,5588,6,99862,html version of FL COVID Rep 06-28-2020
Lee,26,15,50245,5188,9,55448,html version of FL COVID Rep 06-28-2020
Collier,96,14,28938,4087,12,33039,html version of FL COVID Rep 06-28-2020
Polk,16,18,41091,3495,8,44604,html version of FL COVID Rep 06-28-2020
Manatee,1,18,36366,2737,7,39121,html version of FL COVID Rep 06-28-2020
Seminole,15,27,32986,2366,7,35379,html version of FL COVID Rep 06-28-2020
Volusia,2,29,37114,1933,5,39076,html version of FL COVID Rep 06-28-2020
Martin,28,12,14372,1910,12,16294,html version of FL COVID Rep 06-28-2020
Osceola,52,38,23322,1833,7,25193,html version of FL COVID Rep 06-28-2020
Pasco,37,11,32016,1780,5,33807,html version of FL COVID Rep 06-28-2020
Escambia,1,10,30043,1660,5,31713,html version of FL COVID Rep 06-28-2020
St. Lucie,86,8,20433,1652,7,22093,html version of FL COVID Rep 06-28-2020
Brevard,3,4,40833,1631,4,42468,html version of FL COVID Rep 06-28-2020
Sarasota,7,5,33826,1401,4,35232,html version of FL COVID Rep 06-28-2020
Lake,26,17,31084,1192,4,32293,html version of FL COVID Rep 06-28-2020
Alachua,1,10,39341,1124,3,40475,html version of FL COVID Rep 06-28-2020
Leon,136,17,26679,951,3,27647,html version of FL COVID Rep 06-28-2020
Hendry,,2,4128,923,18,5053,html version of FL COVID Rep 06-28-2020
St. Johns,34,22,19025,837,4,19884,html version of FL COVID Rep 06-28-2020
Charlotte,3,4,11189,714,6,11907,html version of FL COVID Rep 06-28-2020
Clay,5,4,16039,659,4,16702,html version of FL COVID Rep 06-28-2020
Indian River,27,2,13119,655,5,13776,html version of FL COVID Rep 06-28-2020
Marion,319,5,22581,631,3,23217,html version of FL COVID Rep 06-28-2020
Okaloosa,1,9,12234,601,5,12844,html version of FL COVID Rep 06-28-2020
Desoto,11,5,3887,585,13,4477,html version of FL COVID Rep 06-28-2020
Santa Rosa,2,2,11783,468,4,12253,html version of FL COVID Rep 06-28-2020
Suwannee,,4,3444,433,11,3881,html version of FL COVID Rep 06-28-2020
Hardee,,2,2002,411,17,2415,html version of FL COVID Rep 06-28-2020
Gadsden,3,6,5395,373,6,5774,html version of FL COVID Rep 06-28-2020
Jackson,6,9,4743,359,7,5111,html version of FL COVID Rep 06-28-2020
Hernando,,1,9516,346,4,9863,html version of FL COVID Rep 06-28-2020
Okeechobee,,,3119,343,10,3462,html version of FL COVID Rep 06-28-2020
Sumter,24,5,7020,327,4,7352,html version of FL COVID Rep 06-28-2020
Hamilton,1,1,2316,325,12,2642,html version of FL COVID Rep 06-28-2020
Highlands,7,6,7974,324,4,8304,html version of FL COVID Rep 06-28-2020
Bay,66,7,7153,322,4,7482,html version of FL COVID Rep 06-28-2020
Putnam,2,1,6053,318,5,6372,html version of FL COVID Rep 06-28-2020
Flagler,1,4,7644,293,4,7941,html version of FL COVID Rep 06-28-2020
Citrus,2,3,9347,277,3,9627,html version of FL COVID Rep 06-28-2020
Columbia,3,5,5485,269,5,5759,html version of FL COVID Rep 06-28-2020
Liberty,,2,2100,221,10,2323,html version of FL COVID Rep 06-28-2020
Monroe,41,,5079,219,4,5298,html version of FL COVID Rep 06-28-2020
Walton,1,5,3042,211,6,3258,html version of FL COVID Rep 06-28-2020
Madison,,2,1745,187,10,1934,html version of FL COVID Rep 06-28-2020
Levy,,2,3012,171,5,3185,html version of FL COVID Rep 06-28-2020
Nassau,9,2,6536,169,3,6707,html version of FL COVID Rep 06-28-2020
Glades,,,468,161,26,629,html version of FL COVID Rep 06-28-2020
Holmes,,3,2191,161,7,2355,html version of FL COVID Rep 06-28-2020
Unknown,1,13,2153,143,6,2309,html version of FL COVID Rep 06-28-2020
Washington,3,1,1713,110,6,1824,html version of FL COVID Rep 06-28-2020
Gilchrist,,3,2203,97,4,2303,html version of FL COVID Rep 06-28-2020
Bradford,1,3,2493,82,3,2578,html version of FL COVID Rep 06-28-2020
Calhoun,1,2,782,76,9,860,html version of FL COVID Rep 06-28-2020
Taylor,1,2,1328,74,5,1404,html version of FL COVID Rep 06-28-2020
Dixie,,,1297,65,5,1362,html version of FL COVID Rep 06-28-2020
Union,1,,2205,61,3,2266,html version of FL COVID Rep 06-28-2020
Baker,1,,1672,55,3,1727,html version of FL COVID Rep 06-28-2020
Wakulla,1,1,2091,54,3,2146,html version of FL COVID Rep 06-28-2020
Jefferson,1,1,1171,47,4,1219,html version of FL COVID Rep 06-28-2020
Lafayette,,1,504,30,6,535,html version of FL COVID Rep 06-28-2020
Gulf,,,1397,22,2,1419,html version of FL COVID Rep 06-28-2020
Franklin,1,,814,6,1,820,html version of FL COVID Rep 06-28-2020
Total,1726,1347,1740822,141075,7,1883244,html version of FL COVID Rep 06-28-2020
