COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,250,163,52931,10056,16,63150,html version of FL COVID Rep 04-21-2020(PM)
Broward,61,41,31783,4168,12,35992,html version of FL COVID Rep 04-21-2020(PM)
Palm Beach,53,282,15881,2320,13,18483,html version of FL COVID Rep 04-21-2020(PM)
Orange,14,3,16989,1235,7,18227,html version of FL COVID Rep 04-21-2020(PM)
Hillsborough,10,36,14831,979,6,15846,html version of FL COVID Rep 04-21-2020(PM)
Duval,71,11,17128,909,5,18048,html version of FL COVID Rep 04-21-2020(PM)
Lee,61,2,5934,795,12,6731,html version of FL COVID Rep 04-21-2020(PM)
Pinellas,81,9,10221,632,6,10862,html version of FL COVID Rep 04-21-2020(PM)
Collier,19,1,3889,477,11,4367,html version of FL COVID Rep 04-21-2020(PM)
Manatee,1,2,2272,443,16,2717,html version of FL COVID Rep 04-21-2020(PM)
Osceola,63,1,3370,417,11,3788,html version of FL COVID Rep 04-21-2020(PM)
Volusia,3,2,5694,366,6,6062,html version of FL COVID Rep 04-21-2020(PM)
Polk,7,2,5050,356,7,5408,html version of FL COVID Rep 04-21-2020(PM)
Escambia,25,5,4489,340,7,4834,html version of FL COVID Rep 04-21-2020(PM)
Seminole,7,3,4027,328,8,4358,html version of FL COVID Rep 04-21-2020(PM)
Sarasota,2,1,3363,297,8,3661,html version of FL COVID Rep 04-21-2020(PM)
Clay,1,1,2815,256,8,3072,html version of FL COVID Rep 04-21-2020(PM)
Brevard,2,3,5930,224,4,6157,html version of FL COVID Rep 04-21-2020(PM)
Alachua,4,8,5163,224,4,5395,html version of FL COVID Rep 04-21-2020(PM)
Pasco,27,6,4153,213,5,4372,html version of FL COVID Rep 04-21-2020(PM)
Lake,11,1,3824,213,5,4038,html version of FL COVID Rep 04-21-2020(PM)
St. Lucie,42,2,2206,206,9,2414,html version of FL COVID Rep 04-21-2020(PM)
St. Johns,6,1,3917,194,5,4112,html version of FL COVID Rep 04-21-2020(PM)
Leon,9,2,2351,186,7,2539,html version of FL COVID Rep 04-21-2020(PM)
Sumter,26,2,1450,163,10,1615,html version of FL COVID Rep 04-21-2020(PM)
Martin,7,,1270,160,11,1430,html version of FL COVID Rep 04-21-2020(PM)
Charlotte,6,2,1294,143,10,1439,html version of FL COVID Rep 04-21-2020(PM)
Santa Rosa,1,1,2033,139,6,2173,html version of FL COVID Rep 04-21-2020(PM)
Okaloosa,11,1,1596,134,8,1731,html version of FL COVID Rep 04-21-2020(PM)
Marion,221,2,2863,130,4,2995,html version of FL COVID Rep 04-21-2020(PM)
Suwannee,,,370,102,22,472,html version of FL COVID Rep 04-21-2020(PM)
Citrus,1,1,1218,92,7,1311,html version of FL COVID Rep 04-21-2020(PM)
Indian River,64,1,1273,85,6,1359,html version of FL COVID Rep 04-21-2020(PM)
Hernando,,,1236,84,6,1320,html version of FL COVID Rep 04-21-2020(PM)
Flagler,1,1,975,78,7,1054,html version of FL COVID Rep 04-21-2020(PM)
Monroe,37,,903,73,7,976,html version of FL COVID Rep 04-21-2020(PM)
Highlands,1,1,553,71,11,625,html version of FL COVID Rep 04-21-2020(PM)
Putnam,3,,1016,59,5,1075,html version of FL COVID Rep 04-21-2020(PM)
Bay,,1,847,58,6,906,html version of FL COVID Rep 04-21-2020(PM)
Gadsden,,,298,57,16,355,html version of FL COVID Rep 04-21-2020(PM)
Nassau,,,1090,46,4,1136,html version of FL COVID Rep 04-21-2020(PM)
Hendry,,,279,46,14,325,html version of FL COVID Rep 04-21-2020(PM)
Columbia,9,,607,43,7,650,html version of FL COVID Rep 04-21-2020(PM)
Bradford,3,,574,42,7,616,html version of FL COVID Rep 04-21-2020(PM)
Walton,,1,438,32,7,471,html version of FL COVID Rep 04-21-2020(PM)
Madison,22,,166,26,14,192,html version of FL COVID Rep 04-21-2020(PM)
Jefferson,,,99,26,21,125,html version of FL COVID Rep 04-21-2020(PM)
Desoto,,,421,24,5,445,html version of FL COVID Rep 04-21-2020(PM)
Baker,,,280,17,6,297,html version of FL COVID Rep 04-21-2020(PM)
Wakulla,,,225,15,6,240,html version of FL COVID Rep 04-21-2020(PM)
Levy,,,405,12,3,417,html version of FL COVID Rep 04-21-2020(PM)
Jackson,,,309,11,3,320,html version of FL COVID Rep 04-21-2020(PM)
Washington,1,,229,9,4,238,html version of FL COVID Rep 04-21-2020(PM)
Holmes,6,,365,8,2,373,html version of FL COVID Rep 04-21-2020(PM)
Okeechobee,1,,261,8,3,269,html version of FL COVID Rep 04-21-2020(PM)
Calhoun,,,88,6,6,94,html version of FL COVID Rep 04-21-2020(PM)
Glades,,,37,5,12,42,html version of FL COVID Rep 04-21-2020(PM)
Gilchrist,1,,176,4,2,180,html version of FL COVID Rep 04-21-2020(PM)
Dixie,1,,162,4,2,166,html version of FL COVID Rep 04-21-2020(PM)
Hamilton,1,,102,4,4,106,html version of FL COVID Rep 04-21-2020(PM)
Hardee,,,94,4,4,98,html version of FL COVID Rep 04-21-2020(PM)
Unknown,8,,36,4,10,40,html version of FL COVID Rep 04-21-2020(PM)
Union,2,,170,3,2,173,html version of FL COVID Rep 04-21-2020(PM)
Taylor,,,177,2,1,179,html version of FL COVID Rep 04-21-2020(PM)
Franklin,,,71,2,3,73,html version of FL COVID Rep 04-21-2020(PM)
Liberty,,,39,2,5,41,html version of FL COVID Rep 04-21-2020(PM)
Gulf,,,111,1,1,112,html version of FL COVID Rep 04-21-2020(PM)
Lafayette,,,54,1,2,55,html version of FL COVID Rep 04-21-2020(PM)
Total,1264,602,254471,27869,10,282942,html version of FL COVID Rep 04-21-2020(PM)
