COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,79,,7298,1474,17,8774,html version of FL COVID Rep 03-29-2020(PM)
Broward,118,,8836,1012,10,9849,html version of FL COVID Rep 03-29-2020(PM)
Palm Beach,35,,1851,383,17,2234,html version of FL COVID Rep 03-29-2020(PM)
Orange,11,,2668,268,9,2936,html version of FL COVID Rep 03-29-2020(PM)
Hillsborough,6,,3296,225,6,3521,html version of FL COVID Rep 03-29-2020(PM)
Lee,8,,1513,152,9,1665,html version of FL COVID Rep 03-29-2020(PM)
Duval,218,,2081,142,6,2223,html version of FL COVID Rep 03-29-2020(PM)
Pinellas,55,,2046,116,5,2162,html version of FL COVID Rep 03-29-2020(PM)
Collier,25,,971,111,10,1082,html version of FL COVID Rep 03-29-2020(PM)
Osceola,64,,512,89,15,601,html version of FL COVID Rep 03-29-2020(PM)
Seminole,24,,876,81,8,958,html version of FL COVID Rep 03-29-2020(PM)
Alachua,19,,1177,72,6,1249,html version of FL COVID Rep 03-29-2020(PM)
Sarasota,24,,677,61,8,738,html version of FL COVID Rep 03-29-2020(PM)
Volusia,5,,583,60,9,643,html version of FL COVID Rep 03-29-2020(PM)
St. Johns,22,,746,59,7,805,html version of FL COVID Rep 03-29-2020(PM)
Polk,40,,740,46,6,786,html version of FL COVID Rep 03-29-2020(PM)
Sumter,1,,628,45,7,677,html version of FL COVID Rep 03-29-2020(PM)
Lake,7,,875,44,5,920,html version of FL COVID Rep 03-29-2020(PM)
Manatee,6,,274,38,12,312,html version of FL COVID Rep 03-29-2020(PM)
Escambia,1,,590,37,6,627,html version of FL COVID Rep 03-29-2020(PM)
Pasco,10,,765,35,4,801,html version of FL COVID Rep 03-29-2020(PM)
Clay,3,,309,33,10,342,html version of FL COVID Rep 03-29-2020(PM)
Okaloosa,10,,187,32,15,219,html version of FL COVID Rep 03-29-2020(PM)
Brevard,6,,483,30,6,513,html version of FL COVID Rep 03-29-2020(PM)
Martin,2,,230,27,11,257,html version of FL COVID Rep 03-29-2020(PM)
St. Lucie,15,,350,24,6,374,html version of FL COVID Rep 03-29-2020(PM)
Monroe,51,,137,23,14,160,html version of FL COVID Rep 03-29-2020(PM)
Marion,101,,469,22,4,491,html version of FL COVID Rep 03-29-2020(PM)
Hernando,1,,227,20,8,247,html version of FL COVID Rep 03-29-2020(PM)
Indian River,4,,218,20,8,238,html version of FL COVID Rep 03-29-2020(PM)
Santa Rosa,2,,250,20,7,270,html version of FL COVID Rep 03-29-2020(PM)
Leon,1,,478,18,4,496,html version of FL COVID Rep 03-29-2020(PM)
Charlotte,4,,220,16,7,236,html version of FL COVID Rep 03-29-2020(PM)
Citrus,4,,194,16,8,210,html version of FL COVID Rep 03-29-2020(PM)
Walton,1,,89,15,14,104,html version of FL COVID Rep 03-29-2020(PM)
Flagler,0,,158,13,8,171,html version of FL COVID Rep 03-29-2020(PM)
Highlands,18,,54,12,18,67,html version of FL COVID Rep 03-29-2020(PM)
Putnam,8,,223,12,5,235,html version of FL COVID Rep 03-29-2020(PM)
Baker,1,,54,8,13,62,html version of FL COVID Rep 03-29-2020(PM)
Nassau,0,,93,8,8,101,html version of FL COVID Rep 03-29-2020(PM)
Desoto,12,,87,7,7,94,html version of FL COVID Rep 03-29-2020(PM)
Bay,1,,97,6,6,103,html version of FL COVID Rep 03-29-2020(PM)
Columbia,36,,105,3,3,109,html version of FL COVID Rep 03-29-2020(PM)
Bradford,0,,57,2,3,59,html version of FL COVID Rep 03-29-2020(PM)
Hendry,1,,44,2,4,46,html version of FL COVID Rep 03-29-2020(PM)
Jackson,3,,67,2,3,69,html version of FL COVID Rep 03-29-2020(PM)
Levy,0,,79,2,2,81,html version of FL COVID Rep 03-29-2020(PM)
Suwannee,8,,54,2,4,56,html version of FL COVID Rep 03-29-2020(PM)
Gadsden,0,,39,1,3,40,html version of FL COVID Rep 03-29-2020(PM)
Glades,0,,4,1,20,5,html version of FL COVID Rep 03-29-2020(PM)
Unknown,0,,11,1,8,12,html version of FL COVID Rep 03-29-2020(PM)
Wakulla,0,,41,1,2,42,html version of FL COVID Rep 03-29-2020(PM)
Washington,6,,31,1,3,32,html version of FL COVID Rep 03-29-2020(PM)
Calhoun,0,,11,0,0,11,html version of FL COVID Rep 03-29-2020(PM)
Dixie,0,,30,0,0,30,html version of FL COVID Rep 03-29-2020(PM)
Franklin,0,,17,0,0,17,html version of FL COVID Rep 03-29-2020(PM)
Gilchrist,0,,32,0,0,32,html version of FL COVID Rep 03-29-2020(PM)
Gulf,0,,32,0,0,32,html version of FL COVID Rep 03-29-2020(PM)
Hamilton,2,,16,0,0,16,html version of FL COVID Rep 03-29-2020(PM)
Hardee,0,,14,0,0,14,html version of FL COVID Rep 03-29-2020(PM)
Holmes,4,,25,0,0,25,html version of FL COVID Rep 03-29-2020(PM)
Jefferson,0,,16,0,0,16,html version of FL COVID Rep 03-29-2020(PM)
Lafayette,0,,11,0,0,11,html version of FL COVID Rep 03-29-2020(PM)
Liberty,0,,3,0,0,3,html version of FL COVID Rep 03-29-2020(PM)
Madison,0,,23,0,0,23,html version of FL COVID Rep 03-29-2020(PM)
Okeechobee,1,,44,0,0,44,html version of FL COVID Rep 03-29-2020(PM)
Taylor,0,,30,0,0,30,html version of FL COVID Rep 03-29-2020(PM)
Union,1,,35,0,0,35,html version of FL COVID Rep 03-29-2020(PM)
Total,1085,,44481,4950,10,49443,html version of FL COVID Rep 03-29-2020(PM)
