COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,INCONCLUSIVE,TOTAL_TESTED,PERCENT_POSITIVE,FILE_NAME
Broward,208,1395,180,0,1575,11,html version of FL COVID Rep 03-22-2020
Dade,82,1246,177,1,1424,12,html version of FL COVID Rep 03-22-2020
Palm Beach,11,358,59,0,417,14,html version of FL COVID Rep 03-22-2020
Hillsborough,11,815,50,0,865,6,html version of FL COVID Rep 03-22-2020
Duval,40,329,37,0,366,10,html version of FL COVID Rep 03-22-2020
Pinellas,37,346,30,0,376,8,html version of FL COVID Rep 03-22-2020
Alachua,25,452,29,0,481,6,html version of FL COVID Rep 03-22-2020
Orange,15,468,29,0,497,6,html version of FL COVID Rep 03-22-2020
Collier,30,180,28,0,208,13,html version of FL COVID Rep 03-22-2020
Osceola,65,144,22,0,166,13,html version of FL COVID Rep 03-22-2020
Lee,38,126,18,0,144,13,html version of FL COVID Rep 03-22-2020
Seminole,28,127,16,0,143,11,html version of FL COVID Rep 03-22-2020
Sarasota,63,264,15,0,279,5,html version of FL COVID Rep 03-22-2020
Manatee,11,84,13,0,97,13,html version of FL COVID Rep 03-22-2020
Okaloosa,6,41,12,0,53,23,html version of FL COVID Rep 03-22-2020
St. Johns,27,177,12,0,189,6,html version of FL COVID Rep 03-22-2020
Volusia,5,67,12,0,79,15,html version of FL COVID Rep 03-22-2020
Polk,21,146,11,0,157,7,html version of FL COVID Rep 03-22-2020
Citrus,19,33,8,0,41,20,html version of FL COVID Rep 03-22-2020
Indian River,2,53,8,0,61,13,html version of FL COVID Rep 03-22-2020
Pasco,16,142,8,0,150,5,html version of FL COVID Rep 03-22-2020
Clay,8,58,6,0,64,9,html version of FL COVID Rep 03-22-2020
Lake,5,67,6,0,73,8,html version of FL COVID Rep 03-22-2020
Brevard,4,65,5,0,70,7,html version of FL COVID Rep 03-22-2020
Hernando,10,42,5,0,47,11,html version of FL COVID Rep 03-22-2020
Leon,1,97,4,0,101,4,html version of FL COVID Rep 03-22-2020
Sumter,2,50,4,0,54,7,html version of FL COVID Rep 03-22-2020
Walton,13,18,4,0,22,18,html version of FL COVID Rep 03-22-2020
Marion,43,52,3,0,55,5,html version of FL COVID Rep 03-22-2020
Santa Rosa,2,30,3,0,33,9,html version of FL COVID Rep 03-22-2020
Charlotte,1,44,2,0,46,4,html version of FL COVID Rep 03-22-2020
St. Lucie,3,71,2,0,73,3,html version of FL COVID Rep 03-22-2020
Baker,7,9,1,0,10,10,html version of FL COVID Rep 03-22-2020
Bay,5,18,1,0,19,5,html version of FL COVID Rep 03-22-2020
Columbia,16,15,1,0,16,6,html version of FL COVID Rep 03-22-2020
Escambia,2,32,1,0,33,3,html version of FL COVID Rep 03-22-2020
Gadsden,0,13,1,0,14,7,html version of FL COVID Rep 03-22-2020
Highlands,1,8,1,0,9,11,html version of FL COVID Rep 03-22-2020
Jackson,8,9,1,0,10,10,html version of FL COVID Rep 03-22-2020
Martin,2,34,1,0,35,3,html version of FL COVID Rep 03-22-2020
Monroe,20,29,1,0,30,3,html version of FL COVID Rep 03-22-2020
Nassau,0,19,1,0,20,5,html version of FL COVID Rep 03-22-2020
Putnam,13,40,1,0,41,2,html version of FL COVID Rep 03-22-2020
Unknown,1,5,1,0,6,17,html version of FL COVID Rep 03-22-2020
Bradford,1,12,0,0,12,0,html version of FL COVID Rep 03-22-2020
Calhoun,1,3,0,0,3,0,html version of FL COVID Rep 03-22-2020
Desoto,10,7,0,0,7,0,html version of FL COVID Rep 03-22-2020
Dixie,0,4,0,0,4,0,html version of FL COVID Rep 03-22-2020
Flagler,1,46,0,0,46,0,html version of FL COVID Rep 03-22-2020
Franklin,2,3,0,0,3,0,html version of FL COVID Rep 03-22-2020
Gilchrist,0,2,0,0,2,0,html version of FL COVID Rep 03-22-2020
Gulf,6,3,0,0,3,0,html version of FL COVID Rep 03-22-2020
Hamilton,1,1,0,0,1,0,html version of FL COVID Rep 03-22-2020
Hardee,0,4,0,0,4,0,html version of FL COVID Rep 03-22-2020
Hendry,2,7,0,0,7,0,html version of FL COVID Rep 03-22-2020
Holmes,0,2,0,0,2,0,html version of FL COVID Rep 03-22-2020
Jefferson,0,3,0,0,3,0,html version of FL COVID Rep 03-22-2020
Lafayette,1,3,0,0,3,0,html version of FL COVID Rep 03-22-2020
Levy,0,13,0,0,13,0,html version of FL COVID Rep 03-22-2020
Madison,0,3,0,0,3,0,html version of FL COVID Rep 03-22-2020
Okeechobee,3,13,0,0,13,0,html version of FL COVID Rep 03-22-2020
Suwannee,5,7,0,0,7,0,html version of FL COVID Rep 03-22-2020
Taylor,0,6,0,0,6,0,html version of FL COVID Rep 03-22-2020
Union,0,14,0,0,14,0,html version of FL COVID Rep 03-22-2020
Wakulla,0,8,0,0,8,0,html version of FL COVID Rep 03-22-2020
Washington,2,8,0,0,8,0,html version of FL COVID Rep 03-22-2020
Total,962,7990,830,1,8821,9,html version of FL COVID Rep 03-22-2020
