COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,200,452,34500,7459,18,42411,html version of FL COVID Rep 04-13-2020(PM)
Broward,58,32,23055,3177,12,26264,html version of FL COVID Rep 04-13-2020(PM)
Palm Beach,84,112,9110,1704,16,10926,html version of FL COVID Rep 04-13-2020(PM)
Orange,22,40,10875,1024,9,11939,html version of FL COVID Rep 04-13-2020(PM)
Hillsborough,5,26,11604,813,7,12443,html version of FL COVID Rep 04-13-2020(PM)
Duval,79,11,12525,691,5,13227,html version of FL COVID Rep 04-13-2020(PM)
Lee,24,3,5191,642,11,5836,html version of FL COVID Rep 04-13-2020(PM)
Pinellas,69,9,8498,479,5,8986,html version of FL COVID Rep 04-13-2020(PM)
Collier,14,1,3178,376,11,3555,html version of FL COVID Rep 04-13-2020(PM)
Osceola,67,10,2374,333,12,2717,html version of FL COVID Rep 04-13-2020(PM)
Polk,14,3,3956,270,6,4229,html version of FL COVID Rep 04-13-2020(PM)
Seminole,11,9,2973,268,8,3250,html version of FL COVID Rep 04-13-2020(PM)
Manatee,2,1,1504,252,14,1757,html version of FL COVID Rep 04-13-2020(PM)
Escambia,11,5,3459,241,7,3705,html version of FL COVID Rep 04-13-2020(PM)
Sarasota,2,1,2215,230,9,2446,html version of FL COVID Rep 04-13-2020(PM)
Volusia,3,3,2412,216,8,2631,html version of FL COVID Rep 04-13-2020(PM)
Alachua,4,9,3801,187,5,3997,html version of FL COVID Rep 04-13-2020(PM)
St. Johns,18,2,3154,176,5,3332,html version of FL COVID Rep 04-13-2020(PM)
Pasco,21,5,3405,169,5,3579,html version of FL COVID Rep 04-13-2020(PM)
Clay,3,1,1998,165,8,2164,html version of FL COVID Rep 04-13-2020(PM)
Lake,18,3,2763,162,6,2928,html version of FL COVID Rep 04-13-2020(PM)
St. Lucie,37,1,1778,161,8,1940,html version of FL COVID Rep 04-13-2020(PM)
Leon,6,2,1816,150,8,1968,html version of FL COVID Rep 04-13-2020(PM)
Brevard,3,204,2759,148,5,3111,html version of FL COVID Rep 04-13-2020(PM)
Martin,7,,1042,129,11,1171,html version of FL COVID Rep 04-13-2020(PM)
Charlotte,7,2,993,119,11,1114,html version of FL COVID Rep 04-13-2020(PM)
Santa Rosa,1,1,1522,113,7,1636,html version of FL COVID Rep 04-13-2020(PM)
Sumter,26,1,1090,112,9,1203,html version of FL COVID Rep 04-13-2020(PM)
Okaloosa,12,1,1213,103,8,1317,html version of FL COVID Rep 04-13-2020(PM)
Marion,232,3,1873,101,5,1977,html version of FL COVID Rep 04-13-2020(PM)
Indian River,44,1,1016,77,7,1094,html version of FL COVID Rep 04-13-2020(PM)
Citrus,5,3,942,72,7,1017,html version of FL COVID Rep 04-13-2020(PM)
Hernando,1,,1027,71,6,1098,html version of FL COVID Rep 04-13-2020(PM)
Suwannee,,,286,68,19,354,html version of FL COVID Rep 04-13-2020(PM)
