COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,115,,8773,1926,18,10701,html version of FL COVID Rep 03-31-2020
Broward,99,,10411,1209,10,11622,html version of FL COVID Rep 03-31-2020
Palm Beach,44,,2467,514,17,2981,html version of FL COVID Rep 03-31-2020
Orange,13,,3212,363,10,3575,html version of FL COVID Rep 03-31-2020
Hillsborough,6,,4240,291,6,4531,html version of FL COVID Rep 03-31-2020
Duval,169,,2771,198,7,2969,html version of FL COVID Rep 03-31-2020
Lee,8,,1836,185,9,2021,html version of FL COVID Rep 03-31-2020
Pinellas,65,,2518,144,5,2665,html version of FL COVID Rep 03-31-2020
Collier,29,,1190,142,11,1332,html version of FL COVID Rep 03-31-2020
Osceola,56,,623,107,15,730,html version of FL COVID Rep 03-31-2020
Seminole,23,,978,99,9,1078,html version of FL COVID Rep 03-31-2020
Escambia,1,,816,88,10,904,html version of FL COVID Rep 03-31-2020
Alachua,16,,1304,85,6,1390,html version of FL COVID Rep 03-31-2020
Volusia,4,,726,75,9,801,html version of FL COVID Rep 03-31-2020
Polk,30,,1026,73,7,1099,html version of FL COVID Rep 03-31-2020
St. Johns,26,,838,73,8,912,html version of FL COVID Rep 03-31-2020
Sarasota,34,,757,71,9,828,html version of FL COVID Rep 03-31-2020
Lake,9,,1088,59,5,1150,html version of FL COVID Rep 03-31-2020
Sumter,5,,724,49,6,774,html version of FL COVID Rep 03-31-2020
Manatee,7,,347,48,12,395,html version of FL COVID Rep 03-31-2020
Pasco,9,,963,41,4,1005,html version of FL COVID Rep 03-31-2020
Santa Rosa,2,,329,39,11,368,html version of FL COVID Rep 03-31-2020
Okaloosa,29,,231,38,14,269,html version of FL COVID Rep 03-31-2020
Clay,3,,387,37,9,424,html version of FL COVID Rep 03-31-2020
Brevard,6,,557,34,6,591,html version of FL COVID Rep 03-31-2020
St. Lucie,14,,478,33,6,511,html version of FL COVID Rep 03-31-2020
Indian River,7,,259,30,10,289,html version of FL COVID Rep 03-31-2020
Martin,2,,275,28,9,303,html version of FL COVID Rep 03-31-2020
Monroe,62,,161,26,14,187,html version of FL COVID Rep 03-31-2020
Leon,2,,574,25,4,599,html version of FL COVID Rep 03-31-2020
Marion,144,,572,25,4,597,html version of FL COVID Rep 03-31-2020
Charlotte,5,,289,23,7,312,html version of FL COVID Rep 03-31-2020
Hernando,1,,285,23,7,308,html version of FL COVID Rep 03-31-2020
Citrus,4,,239,19,7,258,html version of FL COVID Rep 03-31-2020
Flagler,0,,182,17,9,199,html version of FL COVID Rep 03-31-2020
Walton,1,,103,16,13,119,html version of FL COVID Rep 03-31-2020
Highlands,14,,69,15,18,85,html version of FL COVID Rep 03-31-2020
Putnam,6,,260,13,5,273,html version of FL COVID Rep 03-31-2020
Baker,1,,63,9,13,72,html version of FL COVID Rep 03-31-2020
Nassau,0,,123,9,7,132,html version of FL COVID Rep 03-31-2020
Bay,3,,129,7,5,136,html version of FL COVID Rep 03-31-2020
Desoto,6,,101,7,6,108,html version of FL COVID Rep 03-31-2020
Hendry,1,,52,4,7,56,html version of FL COVID Rep 03-31-2020
Columbia,41,,125,3,2,128,html version of FL COVID Rep 03-31-2020
Glades,0,,4,3,43,7,html version of FL COVID Rep 03-31-2020
Suwannee,8,,62,3,5,65,html version of FL COVID Rep 03-31-2020
Bradford,1,,65,2,3,67,html version of FL COVID Rep 03-31-2020
Jackson,9,,72,2,3,74,html version of FL COVID Rep 03-31-2020
Levy,0,,94,2,2,96,html version of FL COVID Rep 03-31-2020
Unknown,7,,11,2,15,13,html version of FL COVID Rep 03-31-2020
Gadsden,0,,43,1,2,44,html version of FL COVID Rep 03-31-2020
Holmes,4,,27,1,4,28,html version of FL COVID Rep 03-31-2020
Wakulla,0,,47,1,2,48,html version of FL COVID Rep 03-31-2020
Washington,6,,40,1,2,41,html version of FL COVID Rep 03-31-2020
Calhoun,0,,13,0,0,13,html version of FL COVID Rep 03-31-2020
Dixie,0,,35,0,0,35,html version of FL COVID Rep 03-31-2020
Franklin,0,,19,0,0,19,html version of FL COVID Rep 03-31-2020
Gilchrist,0,,37,0,0,37,html version of FL COVID Rep 03-31-2020
Gulf,0,,39,0,0,39,html version of FL COVID Rep 03-31-2020
Hamilton,4,,20,0,0,20,html version of FL COVID Rep 03-31-2020
Hardee,0,,16,0,0,16,html version of FL COVID Rep 03-31-2020
Jefferson,0,,18,0,0,18,html version of FL COVID Rep 03-31-2020
Lafayette,0,,11,0,0,11,html version of FL COVID Rep 03-31-2020
Liberty,0,,3,0,0,3,html version of FL COVID Rep 03-31-2020
Madison,0,,29,0,0,29,html version of FL COVID Rep 03-31-2020
Okeechobee,1,,54,0,0,54,html version of FL COVID Rep 03-31-2020
Taylor,0,,35,0,0,35,html version of FL COVID Rep 03-31-2020
Union,1,,40,0,0,40,html version of FL COVID Rep 03-31-2020
Total,1163,,54285,6338,10,60639,html version of FL COVID Rep 03-31-2020
