COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,103,,6088,1121,16,7211,html version of FL COVID Rep 03-28-2020(PM)
Broward,151,,7054,820,10,7875,html version of FL COVID Rep 03-28-2020(PM)
Palm Beach,30,,1647,318,16,1965,html version of FL COVID Rep 03-28-2020(PM)
Orange,15,,2176,213,9,2389,html version of FL COVID Rep 03-28-2020(PM)
Hillsborough,7,,3057,206,6,3263,html version of FL COVID Rep 03-28-2020(PM)
Duval,221,,1775,120,6,1895,html version of FL COVID Rep 03-28-2020(PM)
Lee,18,,1251,119,9,1370,html version of FL COVID Rep 03-28-2020(PM)
Pinellas,56,,1789,111,6,1900,html version of FL COVID Rep 03-28-2020(PM)
Collier,45,,834,95,10,929,html version of FL COVID Rep 03-28-2020(PM)
Osceola,63,,437,74,14,511,html version of FL COVID Rep 03-28-2020(PM)
Alachua,21,,1111,68,6,1179,html version of FL COVID Rep 03-28-2020(PM)
Seminole,29,,729,68,9,797,html version of FL COVID Rep 03-28-2020(PM)
Sarasota,27,,622,50,7,672,html version of FL COVID Rep 03-28-2020(PM)
St. Johns,33,,629,50,7,679,html version of FL COVID Rep 03-28-2020(PM)
Volusia,6,,478,44,8,522,html version of FL COVID Rep 03-28-2020(PM)
Sumter,6,,545,40,7,590,html version of FL COVID Rep 03-28-2020(PM)
Lake,7,,762,38,5,800,html version of FL COVID Rep 03-28-2020(PM)
Polk,50,,624,37,6,661,html version of FL COVID Rep 03-28-2020(PM)
Pasco,13,,713,34,5,748,html version of FL COVID Rep 03-28-2020(PM)
Manatee,5,,245,32,12,277,html version of FL COVID Rep 03-28-2020(PM)
Okaloosa,11,,164,31,16,195,html version of FL COVID Rep 03-28-2020(PM)
Escambia,1,,454,28,6,482,html version of FL COVID Rep 03-28-2020(PM)
Brevard,10,,409,27,6,436,html version of FL COVID Rep 03-28-2020(PM)
Clay,3,,273,26,9,299,html version of FL COVID Rep 03-28-2020(PM)
Martin,2,,198,26,12,224,html version of FL COVID Rep 03-28-2020(PM)
Monroe,52,,117,22,16,139,html version of FL COVID Rep 03-28-2020(PM)
St. Lucie,11,,306,22,7,328,html version of FL COVID Rep 03-28-2020(PM)
Marion,134,,390,18,4,408,html version of FL COVID Rep 03-28-2020(PM)
Leon,1,,410,17,4,427,html version of FL COVID Rep 03-28-2020(PM)
Charlotte,5,,190,16,8,206,html version of FL COVID Rep 03-28-2020(PM)
Indian River,7,,199,16,7,215,html version of FL COVID Rep 03-28-2020(PM)
Santa Rosa,3,,200,16,7,216,html version of FL COVID Rep 03-28-2020(PM)
Citrus,6,,163,15,8,178,html version of FL COVID Rep 03-28-2020(PM)
Walton,1,,83,15,15,98,html version of FL COVID Rep 03-28-2020(PM)
Hernando,1,,202,14,6,216,html version of FL COVID Rep 03-28-2020(PM)
Flagler,0,,137,13,9,150,html version of FL COVID Rep 03-28-2020(PM)
Putnam,9,,192,12,6,204,html version of FL COVID Rep 03-28-2020(PM)
Highlands,20,,44,10,18,55,html version of FL COVID Rep 03-28-2020(PM)
Baker,1,,44,7,14,51,html version of FL COVID Rep 03-28-2020(PM)
Desoto,39,,52,7,12,59,html version of FL COVID Rep 03-28-2020(PM)
Nassau,0,,80,7,8,87,html version of FL COVID Rep 03-28-2020(PM)
Bay,1,,85,5,6,90,html version of FL COVID Rep 03-28-2020(PM)
Columbia,43,,87,3,3,91,html version of FL COVID Rep 03-28-2020(PM)
Bradford,0,,52,1,2,53,html version of FL COVID Rep 03-28-2020(PM)
Gadsden,0,,36,1,3,37,html version of FL COVID Rep 03-28-2020(PM)
Hendry,1,,37,1,3,38,html version of FL COVID Rep 03-28-2020(PM)
Jackson,7,,60,1,2,61,html version of FL COVID Rep 03-28-2020(PM)
Levy,0,,62,1,2,63,html version of FL COVID Rep 03-28-2020(PM)
Suwannee,11,,44,1,2,45,html version of FL COVID Rep 03-28-2020(PM)
Washington,7,,27,1,4,28,html version of FL COVID Rep 03-28-2020(PM)
Calhoun,0,,11,0,0,11,html version of FL COVID Rep 03-28-2020(PM)
Dixie,0,,27,0,0,27,html version of FL COVID Rep 03-28-2020(PM)
Franklin,0,,15,0,0,15,html version of FL COVID Rep 03-28-2020(PM)
Gilchrist,0,,24,0,0,24,html version of FL COVID Rep 03-28-2020(PM)
Glades,0,,4,0,0,4,html version of FL COVID Rep 03-28-2020(PM)
Gulf,0,,32,0,0,32,html version of FL COVID Rep 03-28-2020(PM)
Hamilton,2,,14,0,0,14,html version of FL COVID Rep 03-28-2020(PM)
Hardee,0,,12,0,0,12,html version of FL COVID Rep 03-28-2020(PM)
Holmes,5,,21,0,0,21,html version of FL COVID Rep 03-28-2020(PM)
Jefferson,0,,12,0,0,12,html version of FL COVID Rep 03-28-2020(PM)
Lafayette,0,,9,0,0,9,html version of FL COVID Rep 03-28-2020(PM)
Liberty,0,,2,0,0,2,html version of FL COVID Rep 03-28-2020(PM)
Madison,0,,21,0,0,21,html version of FL COVID Rep 03-28-2020(PM)
Okeechobee,1,,43,0,0,43,html version of FL COVID Rep 03-28-2020(PM)
Taylor,0,,28,0,0,28,html version of FL COVID Rep 03-28-2020(PM)
Union,1,,33,0,0,33,html version of FL COVID Rep 03-28-2020(PM)
Unknown,0,,11,0,0,11,html version of FL COVID Rep 03-28-2020(PM)
Wakulla,0,,38,0,0,38,html version of FL COVID Rep 03-28-2020(PM)
Total,1302,,37720,4038,10,41769,html version of FL COVID Rep 03-28-2020(PM)
