COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,153,,16725,3890,19,20621,html version of FL COVID Rep 04-04-2020(PM)
Broward,80,,14348,1765,11,16122,html version of FL COVID Rep 04-04-2020(PM)
Palm Beach,85,,4201,954,18,5158,html version of FL COVID Rep 04-04-2020(PM)
Orange,12,,6142,657,10,6799,html version of FL COVID Rep 04-04-2020(PM)
Hillsborough,7,,7001,497,7,7501,html version of FL COVID Rep 04-04-2020(PM)
Duval,142,,6261,387,6,6648,html version of FL COVID Rep 04-04-2020(PM)
Lee,19,,3229,348,10,3577,html version of FL COVID Rep 04-04-2020(PM)
Pinellas,76,,5332,342,6,5684,html version of FL COVID Rep 04-04-2020(PM)
Collier,26,,1804,221,11,2025,html version of FL COVID Rep 04-04-2020(PM)
Osceola,83,,1187,216,15,1403,html version of FL COVID Rep 04-04-2020(PM)
Seminole,16,,1683,178,10,1862,html version of FL COVID Rep 04-04-2020(PM)
Polk,18,,1963,142,7,2107,html version of FL COVID Rep 04-04-2020(PM)
Volusia,3,,1178,134,10,1312,html version of FL COVID Rep 04-04-2020(PM)
St. Johns,42,,1749,132,7,1882,html version of FL COVID Rep 04-04-2020(PM)
Manatee,3,,719,129,15,848,html version of FL COVID Rep 04-04-2020(PM)
Sarasota,10,,1070,129,11,1199,html version of FL COVID Rep 04-04-2020(PM)
Escambia,2,,1390,118,8,1508,html version of FL COVID Rep 04-04-2020(PM)
Alachua,14,,1970,116,6,2088,html version of FL COVID Rep 04-04-2020(PM)
Lake,9,,1685,95,5,1784,html version of FL COVID Rep 04-04-2020(PM)
Pasco,23,,1948,90,4,2039,html version of FL COVID Rep 04-04-2020(PM)
St. Lucie,20,,871,76,8,947,html version of FL COVID Rep 04-04-2020(PM)
Clay,5,,928,74,7,1002,html version of FL COVID Rep 04-04-2020(PM)
Sumter,11,,818,73,8,892,html version of FL COVID Rep 04-04-2020(PM)
Brevard,3,,1047,72,6,1119,html version of FL COVID Rep 04-04-2020(PM)
Okaloosa,42,,390,59,13,449,html version of FL COVID Rep 04-04-2020(PM)
Martin,6,,561,53,9,614,html version of FL COVID Rep 04-04-2020(PM)
Indian River,16,,515,50,9,565,html version of FL COVID Rep 04-04-2020(PM)
Santa Rosa,0,,570,50,8,620,html version of FL COVID Rep 04-04-2020(PM)
Charlotte,4,,465,46,9,511,html version of FL COVID Rep 04-04-2020(PM)
Leon,4,,895,42,4,937,html version of FL COVID Rep 04-04-2020(PM)
Marion,175,,899,42,4,941,html version of FL COVID Rep 04-04-2020(PM)
Monroe,94,,312,42,12,354,html version of FL COVID Rep 04-04-2020(PM)
Hernando,2,,513,40,7,554,html version of FL COVID Rep 04-04-2020(PM)
Citrus,5,,416,34,8,450,html version of FL COVID Rep 04-04-2020(PM)
Highlands,6,,190,30,14,222,html version of FL COVID Rep 04-04-2020(PM)
Flagler,2,,314,29,8,345,html version of FL COVID Rep 04-04-2020(PM)
Bay,2,,246,23,9,269,html version of FL COVID Rep 04-04-2020(PM)
Nassau,0,,329,21,6,350,html version of FL COVID Rep 04-04-2020(PM)
Walton,0,,147,21,13,168,html version of FL COVID Rep 04-04-2020(PM)
Putnam,5,,448,18,4,466,html version of FL COVID Rep 04-04-2020(PM)
Suwannee,3,,124,17,12,141,html version of FL COVID Rep 04-04-2020(PM)
Baker,1,,116,11,9,127,html version of FL COVID Rep 04-04-2020(PM)
Desoto,3,,143,11,7,154,html version of FL COVID Rep 04-04-2020(PM)
Columbia,20,,216,10,4,226,html version of FL COVID Rep 04-04-2020(PM)
Unknown,43,,27,10,27,37,html version of FL COVID Rep 04-04-2020(PM)
Bradford,4,,117,6,5,123,html version of FL COVID Rep 04-04-2020(PM)
Hendry,0,,108,6,5,114,html version of FL COVID Rep 04-04-2020(PM)
Madison,2,,39,6,13,45,html version of FL COVID Rep 04-04-2020(PM)
Wakulla,0,,87,5,5,92,html version of FL COVID Rep 04-04-2020(PM)
Gadsden,0,,66,4,6,70,html version of FL COVID Rep 04-04-2020(PM)
Glades,0,,10,4,29,14,html version of FL COVID Rep 04-04-2020(PM)
Jackson,4,,104,4,4,108,html version of FL COVID Rep 04-04-2020(PM)
Calhoun,0,,26,3,10,29,html version of FL COVID Rep 04-04-2020(PM)
Okeechobee,2,,95,3,3,98,html version of FL COVID Rep 04-04-2020(PM)
Levy,0,,134,2,1,136,html version of FL COVID Rep 04-04-2020(PM)
Dixie,0,,60,1,2,61,html version of FL COVID Rep 04-04-2020(PM)
Franklin,0,,24,1,4,25,html version of FL COVID Rep 04-04-2020(PM)
Gulf,0,,50,1,2,51,html version of FL COVID Rep 04-04-2020(PM)
Hardee,0,,31,1,3,32,html version of FL COVID Rep 04-04-2020(PM)
Holmes,5,,45,1,2,46,html version of FL COVID Rep 04-04-2020(PM)
Jefferson,0,,23,1,4,24,html version of FL COVID Rep 04-04-2020(PM)
Union,2,,61,1,2,62,html version of FL COVID Rep 04-04-2020(PM)
Washington,3,,64,1,2,65,html version of FL COVID Rep 04-04-2020(PM)
Gilchrist,0,,61,0,0,61,html version of FL COVID Rep 04-04-2020(PM)
Hamilton,2,,36,0,0,36,html version of FL COVID Rep 04-04-2020(PM)
Lafayette,0,,22,0,0,22,html version of FL COVID Rep 04-04-2020(PM)
Liberty,0,,7,0,0,7,html version of FL COVID Rep 04-04-2020(PM)
Taylor,0,,46,0,0,46,html version of FL COVID Rep 04-04-2020(PM)
