COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Broward,259,287,96,15,642,html version of FL COVID Rep 03-19-2020
Dade,123,204,86,21,413,html version of FL COVID Rep 03-19-2020
Palm Beach,9,35,29,40,73,html version of FL COVID Rep 03-19-2020
Hillsborough,9,46,19,26,74,html version of FL COVID Rep 03-19-2020
Collier,41,57,18,16,116,html version of FL COVID Rep 03-19-2020
Duval,26,55,15,16,96,html version of FL COVID Rep 03-19-2020
Orange,13,23,15,29,51,html version of FL COVID Rep 03-19-2020
Pinellas,64,84,14,9,162,html version of FL COVID Rep 03-19-2020
Lee,28,35,11,15,74,html version of FL COVID Rep 03-19-2020
Alachua,34,96,10,7,140,html version of FL COVID Rep 03-19-2020
Manatee,7,33,9,18,49,html version of FL COVID Rep 03-19-2020
Osceola,72,23,9,9,104,html version of FL COVID Rep 03-19-2020
Volusia,8,25,9,21,42,html version of FL COVID Rep 03-19-2020
Seminole,17,20,8,18,45,html version of FL COVID Rep 03-19-2020
Sarasota,52,152,5,2,209,html version of FL COVID Rep 03-19-2020
Clay,6,7,4,24,17,html version of FL COVID Rep 03-19-2020
Leon,0,4,4,50,8,html version of FL COVID Rep 03-19-2020
Okaloosa,5,26,4,11,35,html version of FL COVID Rep 03-19-2020
Pasco,12,32,4,8,48,html version of FL COVID Rep 03-19-2020
St. Johns,31,59,4,4,94,html version of FL COVID Rep 03-19-2020
Citrus,3,3,3,33,9,html version of FL COVID Rep 03-19-2020
Brevard,5,7,2,14,14,html version of FL COVID Rep 03-19-2020
Lake,1,7,2,20,10,html version of FL COVID Rep 03-19-2020
Polk,30,28,2,3,60,html version of FL COVID Rep 03-19-2020
Santa Rosa,4,10,2,13,16,html version of FL COVID Rep 03-19-2020
Charlotte,2,9,1,8,12,html version of FL COVID Rep 03-19-2020
Escambia,5,11,1,6,17,html version of FL COVID Rep 03-19-2020
Gadsden,0,0,1,100,1,html version of FL COVID Rep 03-19-2020
Nassau,1,8,1,10,10,html version of FL COVID Rep 03-19-2020
Sumter,22,17,1,3,40,html version of FL COVID Rep 03-19-2020
Walton,18,2,1,5,21,html version of FL COVID Rep 03-19-2020
Baker,1,5,0,0,6,html version of FL COVID Rep 03-19-2020
Bay,2,4,0,0,6,html version of FL COVID Rep 03-19-2020
Bradford,0,4,0,0,4,html version of FL COVID Rep 03-19-2020
Columbia,1,8,0,0,9,html version of FL COVID Rep 03-19-2020
Desoto,1,4,0,0,5,html version of FL COVID Rep 03-19-2020
Dixie,0,2,0,0,2,html version of FL COVID Rep 03-19-2020
Flagler,8,10,0,0,18,html version of FL COVID Rep 03-19-2020
Franklin,1,1,0,0,2,html version of FL COVID Rep 03-19-2020
Gilchrist,0,1,0,0,1,html version of FL COVID Rep 03-19-2020
Gulf,0,1,0,0,1,html version of FL COVID Rep 03-19-2020
Hardee,1,1,0,0,2,html version of FL COVID Rep 03-19-2020
Hendry,1,1,0,0,2,html version of FL COVID Rep 03-19-2020
Hernando,18,5,0,0,23,html version of FL COVID Rep 03-19-2020
Indian River,4,11,0,0,15,html version of FL COVID Rep 03-19-2020
Jackson,4,3,0,0,7,html version of FL COVID Rep 03-19-2020
Lafayette,0,1,0,0,1,html version of FL COVID Rep 03-19-2020
Levy,0,2,0,0,2,html version of FL COVID Rep 03-19-2020
Marion,11,24,0,0,35,html version of FL COVID Rep 03-19-2020
Martin,10,1,0,0,11,html version of FL COVID Rep 03-19-2020
Monroe,20,10,0,0,30,html version of FL COVID Rep 03-19-2020
Okeechobee,4,6,0,0,10,html version of FL COVID Rep 03-19-2020
Putnam,11,13,0,0,24,html version of FL COVID Rep 03-19-2020
St. Lucie,5,4,0,0,9,html version of FL COVID Rep 03-19-2020
Suwannee,1,3,0,0,4,html version of FL COVID Rep 03-19-2020
Union,5,3,0,0,8,html version of FL COVID Rep 03-19-2020
Unknown,2,0,0,0,2,html version of FL COVID Rep 03-19-2020
Washington,1,0,0,0,1,html version of FL COVID Rep 03-19-2020
Total,1019,1533,390,13,,html version of FL COVID Rep 03-19-2020
